instrument_name,strike,expiration_date,volume,option_type
ETH-25APR25-2000-C,2000.0,2025-04-25,5060.0,call
ETH-25APR25-2300-C,2300.0,2025-04-25,3277.0,call
ETH-27JUN25-3200-C,3200.0,2025-06-27,2712.0,call
ETH-25APR25-2500-C,2500.0,2025-04-25,2411.0,call
ETH-4APR25-2000-C,2000.0,2025-04-04,1953.0,call
ETH-4APR25-1850-P,1850.0,2025-04-04,3189.0,put
ETH-1APR25-1700-P,1700.0,2025-04-01,3122.0,put
ETH-4APR25-1700-P,1700.0,2025-04-04,2913.0,put
ETH-4APR25-1800-P,1800.0,2025-04-04,2172.0,put
ETH-25APR25-1500-P,1500.0,2025-04-25,2099.0,put
