expiration_date,strike,option_type,implied_volatility,mean_iv,deviation_pct,days_to_expiration,volume,open_interest
2025-03-31,1600.0,call,159.24,92.99523809523808,71.23457422295051,1,4.0,1.0
2025-03-31,1600.0,put,159.24,92.99523809523808,71.23457422295051,1,1869.0,1885.0
2025-04-01,1550.0,call,140.08,91.21363636363638,53.573528678925584,2,0.0,0.0
2025-04-01,1550.0,put,140.08,91.21363636363638,53.573528678925584,2,610.0,443.0
2025-04-25,5500.0,call,133.17,87.04333333333334,52.99276222571131,26,20.0,3591.0
2025-04-25,5500.0,put,133.17,87.04333333333334,52.99276222571131,26,0.0,0.0
2025-06-27,15000.0,call,125.25,82.34615384615384,52.10182157870156,89,11.0,5248.0
2025-06-27,15000.0,put,125.25,82.34615384615384,52.10182157870156,89,0.0,1.0
2025-04-04,1400.0,call,134.03,89.28375,50.11690257185658,5,0.0,0.0
2025-04-04,1400.0,put,134.03,89.28375,50.11690257185658,5,605.0,3141.0
2025-06-27,14000.0,call,121.7,82.34615384615384,47.79075198505373,89,38.0,1848.0
2025-06-27,14000.0,put,121.7,82.34615384615384,47.79075198505373,89,0.0,0.0
2025-03-31,1650.0,call,136.51,92.99523809523808,46.79246249167905,1,0.0,0.0
2025-03-31,1650.0,put,136.51,92.99523809523808,46.79246249167905,1,391.0,477.0
2025-04-25,5000.0,call,127.09,87.04333333333334,46.007735610615406,26,18.0,2314.0
2025-04-25,5000.0,put,127.09,87.04333333333334,46.007735610615406,26,0.0,0.0
2025-04-02,1550.0,call,124.14,86.469,43.56590223085731,3,0.0,0.0
2025-04-02,1550.0,put,124.14,86.469,43.56590223085731,3,140.0,89.0
2025-06-27,13000.0,call,117.87,82.34615384615384,43.13965436711818,89,5.0,4457.0
2025-06-27,13000.0,put,117.87,82.34615384615384,43.13965436711818,89,0.0,0.0
2025-06-27,12000.0,call,115.44,82.34615384615384,40.188696870621214,89,0.0,1252.0
2025-06-27,12000.0,put,115.44,82.34615384615384,40.188696870621214,89,0.0,102.0
2025-04-01,1600.0,call,125.71,91.21363636363638,37.819305327154,2,0.0,0.0
2025-04-01,1600.0,put,125.71,91.21363636363638,37.819305327154,2,406.0,385.0
2025-06-27,11000.0,call,112.22,82.34615384615384,36.27837459131248,89,0.0,2923.0
2025-06-27,11000.0,put,112.22,82.34615384615384,36.27837459131248,89,0.0,127.0
2025-04-25,1000.0,call,117.09,87.04333333333334,34.519204993681306,26,0.0,0.0
2025-04-25,1000.0,put,117.09,87.04333333333334,34.519204993681306,26,112.0,4908.0
2025-04-25,4500.0,call,115.47,87.04333333333334,32.658063033737974,26,0.0,2131.0
2025-04-25,4500.0,put,115.47,87.04333333333334,32.658063033737974,26,0.0,720.0
2025-03-31,1850.0,call,63.3,92.99523809523808,-31.93199856623482,1,994.0,834.0
2025-03-31,1850.0,put,63.3,92.99523809523808,-31.93199856623482,1,337.0,819.0
2025-03-31,1875.0,call,63.76,92.99523809523808,-31.437349582671914,1,622.0,1450.0
2025-03-31,1875.0,put,63.76,92.99523809523808,-31.437349582671914,1,18.0,473.0
2025-06-27,10000.0,call,108.17,82.34615384615384,31.36011209715088,89,12.0,3632.0
2025-06-27,10000.0,put,108.17,82.34615384615384,31.36011209715088,89,0.0,234.0
2025-04-02,1600.0,call,112.96,86.469,30.6364130497635,3,0.0,0.0
