instrument_name,strike,expiration_date,volume,option_type
ETH-21MAR25-3000-C,3000.0,2025-03-21,518.0,call
ETH-27JUN25-7000-C,7000.0,2025-06-27,500.0,call
ETH-28MAR25-2200-C,2200.0,2025-03-28,480.0,call
ETH-28MAR25-2100-C,2100.0,2025-03-28,473.0,call
ETH-28MAR25-1950-C,1950.0,2025-03-28,472.0,call
ETH-28MAR25-1750-P,1750.0,2025-03-28,851.0,put
ETH-21MAR25-1600-P,1600.0,2025-03-21,758.0,put
ETH-21MAR25-1800-P,1800.0,2025-03-21,606.0,put
ETH-17MAR25-1925-P,1925.0,2025-03-17,598.0,put
ETH-21MAR25-1900-P,1900.0,2025-03-21,543.0,put
