instrument_name,strike,expiration_date,open_interest,option_type
ETH-28MAR25-3000-C,3000.0,2025-03-28,83876.0,call
ETH-28MAR25-2800-C,2800.0,2025-03-28,63564.0,call
ETH-28MAR25-3800-C,3800.0,2025-03-28,54990.0,call
ETH-28MAR25-5000-C,5000.0,2025-03-28,49562.0,call
ETH-28MAR25-6000-C,6000.0,2025-03-28,44212.0,call
ETH-28MAR25-1800-P,1800.0,2025-03-28,68331.0,put
ETH-28MAR25-2000-P,2000.0,2025-03-28,44217.0,put
ETH-28MAR25-2200-P,2200.0,2025-03-28,33148.0,put
ETH-4APR25-1800-P,1800.0,2025-04-04,32699.0,put
ETH-28MAR25-2500-P,2500.0,2025-03-28,18385.0,put
