instrument_name,strike,expiration_date,open_interest,option_type
BTC-28MAR25-100000-C,100000.0,2025-03-28,10664.9,call
BTC-28MAR25-120000-C,120000.0,2025-03-28,9234.0,call
BTC-28MAR25-150000-C,150000.0,2025-03-28,6262.6,call
BTC-28MAR25-110000-C,110000.0,2025-03-28,6118.4,call
BTC-28MAR25-130000-C,130000.0,2025-03-28,4596.8,call
BTC-28MAR25-75000-P,75000.0,2025-03-28,3832.4,put
BTC-28MAR25-60000-P,60000.0,2025-03-28,3811.3,put
BTC-28MAR25-95000-P,95000.0,2025-03-28,3237.9,put
BTC-28MAR25-70000-P,70000.0,2025-03-28,3085.7,put
BTC-28MAR25-50000-P,50000.0,2025-03-28,2974.6,put
