instrument_name,strike,expiration_date,volume,option_type
ETH-21MAR25-2200-C,2200.0,2025-03-21,1124.0,call
ETH-28MAR25-1950-C,1950.0,2025-03-28,788.0,call
ETH-28MAR25-2200-C,2200.0,2025-03-28,531.0,call
ETH-25APR25-2000-C,2000.0,2025-04-25,442.0,call
ETH-18MAR25-1950-C,1950.0,2025-03-18,442.0,call
ETH-28MAR25-1750-P,1750.0,2025-03-28,851.0,put
ETH-21MAR25-1800-P,1800.0,2025-03-21,610.0,put
ETH-17MAR25-1925-P,1925.0,2025-03-17,576.0,put
ETH-21MAR25-1600-P,1600.0,2025-03-21,563.0,put
ETH-21MAR25-1900-P,1900.0,2025-03-21,544.0,put
