expiration_date,put_call_ratio,currency
2025-03-31,1.3627966236661888,BTC
2025-04-01,1.2332823844096297,BTC
2025-04-02,1.4894179894179895,BTC
2025-04-04,1.37072608102563,BTC
2025-04-11,0.9181400332741168,BTC
2025-04-18,0.6889969784066622,BTC
2025-04-25,0.4844371829266742,BTC
2025-05-30,0.6036005036325672,BTC
2025-06-27,0.4576050695536053,BTC
2025-09-26,0.3723559077809797,BTC
2025-12-26,0.6934272639940502,BTC
2026-03-27,0.8928571428571429,BTC
2025-03-31,1.1063892433015998,ETH
2025-04-01,2.9194681384846963,ETH
2025-04-02,0.7511078286558346,ETH
2025-04-04,1.7655424696645254,ETH
2025-04-11,0.8258047631510076,ETH
2025-04-18,1.3404442213577614,ETH
2025-04-25,0.6484821796858452,ETH
2025-05-30,1.056142199418192,ETH
2025-06-27,0.493925108795573,ETH
2025-09-26,0.8403615504953937,ETH
2025-12-26,0.1996248921564949,ETH
2026-03-27,1.351728320194057,ETH
