instrument_name,strike,expiration_date,volume,option_type
BTC-4APR25-90000-C,90000.0,2025-04-04,844.1,call
BTC-4APR25-85000-C,85000.0,2025-04-04,344.4,call
BTC-30MAR25-84000-C,84000.0,2025-03-30,267.6,call
BTC-31MAR25-86000-C,86000.0,2025-03-31,220.0,call
BTC-27JUN25-130000-C,130000.0,2025-06-27,207.2,call
BTC-31MAR25-80000-P,80000.0,2025-03-31,523.5,put
BTC-4APR25-80000-P,80000.0,2025-04-04,488.9,put
BTC-31MAR25-81000-P,81000.0,2025-03-31,386.5,put
BTC-4APR25-85000-P,85000.0,2025-04-04,302.4,put
BTC-30MAR25-84000-P,84000.0,2025-03-30,298.0,put
