instrument_name,strike,expiration_date,volume,option_type
BTC-1APR25-86000-C,86000.0,2025-04-01,238.9,call
BTC-1APR25-85000-C,85000.0,2025-04-01,105.6,call
BTC-26SEP25-150000-C,150000.0,2025-09-26,103.5,call
BTC-27JUN25-130000-C,130000.0,2025-06-27,103.3,call
BTC-31MAR25-85000-C,85000.0,2025-03-31,94.0,call
BTC-1APR25-80000-P,80000.0,2025-04-01,374.1,put
BTC-1APR25-78000-P,78000.0,2025-04-01,372.4,put
BTC-1APR25-76000-P,76000.0,2025-04-01,104.2,put
BTC-31MAR25-76000-P,76000.0,2025-03-31,97.7,put
BTC-1APR25-79000-P,79000.0,2025-04-01,94.7,put
