expiration_date,put_call_ratio,currency
2025-03-17,1.8167488870172064,BTC
2025-03-18,0.2509102422035776,BTC
2025-03-19,0.0785656728444802,BTC
2025-03-21,0.8017169313870491,BTC
2025-03-28,0.4761408821008117,BTC
2025-04-04,0.70699577064411,BTC
2025-04-25,0.5026506278016,BTC
2025-05-30,0.6703165222435734,BTC
2025-06-27,0.4522517555183847,BTC
2025-09-26,0.5325702688547485,BTC
2025-12-26,0.6981106294175372,BTC
2025-03-17,0.7054023176105761,ETH
2025-03-18,0.5735673722250904,ETH
2025-03-19,0.0925925925925925,ETH
2025-03-21,0.6142935377875137,ETH
2025-03-28,0.400355637959473,ETH
2025-04-04,4.541465183752417,ETH
2025-04-25,0.4782409044933013,ETH
2025-05-30,1.1382826616387776,ETH
2025-06-27,0.4922423080933207,ETH
2025-09-26,0.9530987147567458,ETH
2025-12-26,0.1700256205225281,ETH
