instrument_name,strike,expiration_date,volume,option_type
BTC-18MAR25-86000-C,86000.0,2025-03-18,605.1,call
BTC-16MAR25-86000-C,86000.0,2025-03-16,274.1,call
BTC-4APR25-94000-C,94000.0,2025-04-04,206.3,call
BTC-16MAR25-84500-C,84500.0,2025-03-16,146.2,call
BTC-4APR25-90000-C,90000.0,2025-04-04,138.8,call
BTC-16MAR25-84000-P,84000.0,2025-03-16,117.6,put
BTC-16MAR25-83500-P,83500.0,2025-03-16,100.0,put
BTC-16MAR25-83000-P,83000.0,2025-03-16,89.4,put
BTC-16MAR25-82500-P,82500.0,2025-03-16,86.7,put
BTC-28MAR25-80000-P,80000.0,2025-03-28,85.8,put
