expiration_date,put_call_ratio,currency
2025-03-31,1.3529223634764531,BTC
2025-04-01,1.2294831374796982,BTC
2025-04-02,1.4724517906336088,BTC
2025-04-04,1.370420895025786,BTC
2025-04-11,0.9182954000620468,BTC
2025-04-18,0.6889462048636699,BTC
2025-04-25,0.4844217847084925,BTC
2025-05-30,0.6036005036325672,BTC
2025-06-27,0.4576109157835865,BTC
2025-09-26,0.3723559077809797,BTC
2025-12-26,0.6934272639940502,BTC
2026-03-27,0.8928571428571429,BTC
2025-03-31,1.1153579562332905,ETH
2025-04-01,2.9114400401404916,ETH
2025-04-02,0.7435328898743533,ETH
2025-04-04,1.7687723054960742,ETH
2025-04-11,0.825543051557184,ETH
2025-04-18,1.3404442213577614,ETH
2025-04-25,0.6485544814975862,ETH
2025-05-30,1.056142199418192,ETH
2025-06-27,0.493925108795573,ETH
2025-09-26,0.8403615504953937,ETH
2025-12-26,0.1996248921564949,ETH
2026-03-27,1.351728320194057,ETH
