strike,volume,distance_pct,currency
80000.0,606.4,-3.5019387666727555,BTC
78000.0,521.6999999999999,-5.914390297505936,BTC
86000.0,364.6,3.735415825826788,BTC
82000.0,357.0,-1.0894872358395744,BTC
76000.0,332.9,-8.326841828339118,BTC
85000.0,327.5,2.529190060410197,BTC
83000.0,212.9,0.1167385295770162,BTC
90000.0,211.3,8.56031888749315,BTC
84000.0,210.5,1.322964294993607,BTC
87000.0,201.8,4.941641591243378,BTC
1800.0,29516.0,-0.89961130625323,ETH
1700.0,11762.0,-6.4051884559058285,ETH
2000.0,8225.0,10.111542993051966,ETH
1600.0,6791.0,-11.910765605558426,ETH
1750.0,6040.0,-3.6523998810795297,ETH
1900.0,5156.0,4.605965843399368,ETH
1500.0,4576.0,-17.416342755211026,ETH
1400.0,3928.0,-22.921919904863625,ETH
2200.0,3333.0,21.122697292357163,ETH
1850.0,2661.0,1.853177268573069,ETH
