expiration_date,strike,option_type,implied_volatility,mean_iv,deviation_pct,days_to_expiration,volume,open_interest
2025-03-30,1650.0,call,130.04,81.0224,60.49882501629177,1,2.0,1.0
2025-03-30,1650.0,put,130.04,81.0224,60.49882501629177,1,595.0,552.0
2025-03-31,1600.0,call,124.81,77.8090476190476,60.40551043764041,2,4.0,1.0
2025-03-31,1600.0,put,124.81,77.8090476190476,60.40551043764041,2,584.0,468.0
2025-04-25,5500.0,call,131.2,85.48878787878789,53.47041788219611,27,23.0,3603.0
2025-04-25,5500.0,put,131.2,85.48878787878789,53.47041788219611,27,0.0,0.0
2025-06-27,15000.0,call,123.8,81.64025641025643,51.640876013278984,90,92.0,5259.0
2025-06-27,15000.0,put,123.8,81.64025641025643,51.640876013278984,90,0.0,1.0
2025-04-04,1400.0,call,125.71,82.91062500000001,51.621098019704924,6,0.0,0.0
2025-04-04,1400.0,put,125.71,82.91062500000001,51.621098019704924,6,430.0,2609.0
2025-06-27,14000.0,call,120.27,81.64025641025643,47.317028740848656,90,0.0,1886.0
2025-06-27,14000.0,put,120.27,81.64025641025643,47.317028740848656,90,0.0,0.0
2025-04-01,1600.0,call,111.61,77.14380952380952,44.67784348341379,3,0.0,0.0
2025-04-01,1600.0,put,111.61,77.14380952380952,44.67784348341379,3,1.0,1.0
2025-04-25,5000.0,call,123.24,85.48878787878789,44.159255333855555,27,1.0,2323.0
2025-04-25,5000.0,put,123.24,85.48878787878789,44.159255333855555,27,0.0,0.0
2025-06-27,13000.0,call,116.45,81.64025641025643,42.637964553686096,90,0.0,4462.0
2025-06-27,13000.0,put,116.45,81.64025641025643,42.637964553686096,90,0.0,0.0
2025-03-31,1650.0,call,110.85,77.8090476190476,42.46415216739395,2,0.0,0.0
2025-03-31,1650.0,put,110.85,77.8090476190476,42.46415216739395,2,41.0,251.0
2025-03-30,1875.0,call,46.95,81.0224,-42.05306186931021,1,1323.0,1181.0
2025-03-30,1875.0,put,46.95,81.0224,-42.05306186931021,1,631.0,721.0
2025-03-30,1850.0,call,49.03,81.0224,-39.48587057406347,1,190.0,218.0
2025-03-30,1850.0,put,49.03,81.0224,-39.48587057406347,1,635.0,936.0
2025-06-27,12000.0,call,113.47,81.64025641025643,38.98780453333414,90,21.0,1252.0
2025-06-27,12000.0,put,113.47,81.64025641025643,38.98780453333414,90,0.0,102.0
2025-03-30,1900.0,call,50.59,81.0224,-37.56047710262841,1,1441.0,1575.0
2025-03-30,1900.0,put,50.59,81.0224,-37.56047710262841,1,554.0,1304.0
2025-03-30,1700.0,call,110.06,81.0224,35.83897786291198,1,0.0,0.0
2025-03-30,1700.0,put,110.06,81.0224,35.83897786291198,1,1954.0,1407.0
2025-06-27,11000.0,call,110.8,81.64025641025643,35.71735914597182,90,5.0,2923.0
2025-06-27,11000.0,put,110.8,81.64025641025643,35.71735914597182,90,0.0,127.0
2025-06-27,10000.0,call,107.95,81.64025641025643,32.22643429429295,90,7.0,3637.0
2025-06-27,10000.0,put,107.95,81.64025641025643,32.22643429429295,90,0.0,234.0
2025-06-27,9000.0,call,107.74,81.64025641025643,31.969208252590285,90,0.0,2861.0
2025-06-27,9000.0,put,107.74,81.64025641025643,31.969208252590285,90,0.0,69.0
2025-03-30,2300.0,call,106.83,81.0224,31.852425995774,1,0.0,23.0
2025-03-30,2350.0,call,106.83,81.0224,31.852425995774,1,0.0,3.0
2025-03-30,2400.0,call,106.83,81.0224,31.852425995774,1,0.0,4.0
2025-03-30,2450.0,call,106.83,81.0224,31.852425995774,1,0.0,14.0
2025-03-30,2300.0,put,106.83,81.0224,31.852425995774,1,0.0,0.0
2025-03-30,2350.0,put,106.83,81.0224,31.852425995774,1,0.0,0.0
2025-03-30,2400.0,put,106.83,81.0224,31.852425995774,1,0.0,0.0
2025-03-30,2450.0,put,106.83,81.0224,31.852425995774,1,0.0,0.0
2025-04-25,1000.0,call,112.33,85.48878787878789,31.397347871243063,27,0.0,0.0
2025-04-25,1000.0,put,112.33,85.48878787878789,31.397347871243063,27,69.0,4896.0
2025-04-25,4500.0,call,111.81,85.48878787878789,30.78908097110022,27,0.0,2131.0
2025-04-25,4500.0,put,111.81,85.48878787878789,30.78908097110022,27,0.0,720.0
2025-04-01,1650.0,call,100.85,77.14380952380952,30.729867532499593,3,0.0,0.0
2025-04-01,1650.0,put,100.85,77.14380952380952,30.729867532499593,3,43.0,43.0
2025-05-30,1000.0,call,88.72,68.43772727272729,29.636099174431934,62,0.0,204.0
2025-05-30,1000.0,put,88.72,68.43772727272729,29.636099174431934,62,153.0,6957.0
2025-09-26,12000.0,call,94.35,73.01324324324327,29.22313241951659,181,0.0,1135.0
2025-09-26,12000.0,put,94.35,73.01324324324327,29.22313241951659,181,0.0,0.0
2025-03-30,1825.0,call,57.42,81.0224,-29.130709532178756,1,0.0,0.0
2025-03-30,1825.0,put,57.42,81.0224,-29.130709532178756,1,400.0,243.0
2025-04-25,4400.0,call,109.35,85.48878787878789,27.911510635809034,27,0.0,1818.0
2025-04-25,4400.0,put,109.35,85.48878787878789,27.911510635809034,27,0.0,0.0
2025-03-30,1925.0,call,59.1,81.0224,-27.05720887063331,1,440.0,1212.0
2025-03-30,1925.0,put,59.1,81.0224,-27.05720887063331,1,65.0,358.0
2025-03-31,1900.0,call,56.94,77.8090476190476,-26.820849576802786,2,928.0,1185.0
2025-03-31,1900.0,put,56.94,77.8090476190476,-26.820849576802786,2,267.0,542.0
2025-03-30,2250.0,call,102.58,81.0224,26.606963012697715,1,7.0,83.0
2025-03-30,2250.0,put,102.58,81.0224,26.606963012697715,1,0.0,0.0
2025-03-31,1925.0,call,57.17,77.8090476190476,-26.525254132522214,2,397.0,992.0
2025-03-31,1925.0,put,57.17,77.8090476190476,-26.525254132522214,2,10.0,27.0
2025-03-31,1875.0,call,57.28,77.8090476190476,-26.383882398301072,2,1206.0,1249.0
2025-03-31,1875.0,put,57.28,77.8090476190476,-26.383882398301072,2,724.0,607.0
2025-09-26,11000.0,call,92.07,73.01324324324327,26.10041125452986,181,0.0,1147.0
2025-09-26,11000.0,put,92.07,73.01324324324327,26.10041125452986,181,0.0,0.0
2025-04-18,1400.0,call,85.61,68.09812500000001,25.715649292840276,20,0.0,0.0
2025-04-18,1400.0,put,85.61,68.09812500000001,25.715649292840276,20,257.0,543.0
2025-03-31,1950.0,call,57.89,77.8090476190476,-25.599911872165666,2,307.0,703.0
2025-03-31,1950.0,put,57.89,77.8090476190476,-25.599911872165666,2,9.0,8.0
2025-04-01,2300.0,call,96.7,77.14380952380952,25.350304317230655,3,1.0,1.0
2025-04-01,2300.0,put,96.7,77.14380952380952,25.350304317230655,3,0.0,0.0
2025-06-27,8000.0,call,102.2,81.64025641025643,25.183340295291707,90,0.0,4588.0
2025-06-27,8000.0,put,102.2,81.64025641025643,25.183340295291707,90,0.0,81.0
2025-04-25,2000.0,call,64.0,85.48878787878789,-25.13638152087994,27,5060.0,9145.0
2025-04-25,2000.0,put,64.0,85.48878787878789,-25.13638152087994,27,63.0,18834.0
2025-03-31,1700.0,call,97.22,77.8090476190476,24.946909099810917,2,0.0,0.0
2025-03-31,1700.0,put,97.22,77.8090476190476,24.946909099810917,2,1302.0,1553.0
2025-04-25,2100.0,call,64.18,85.48878787878789,-24.925827593907407,27,321.0,4990.0
2025-04-25,2100.0,put,64.18,85.48878787878789,-24.925827593907407,27,16.0,4122.0
2025-04-25,1900.0,call,64.56,85.48878787878789,-24.481324859187637,27,1183.0,8135.0
2025-04-25,1900.0,put,64.56,85.48878787878789,-24.481324859187637,27,242.0,9791.0
2025-04-01,2250.0,call,95.84,77.14380952380952,24.23550326539179,3,10.0,10.0
2025-04-01,2250.0,put,95.84,77.14380952380952,24.23550326539179,3,0.0,0.0
2025-04-25,2200.0,call,64.9,85.48878787878789,-24.08361188601731,27,1087.0,8509.0
2025-04-25,2200.0,put,64.9,85.48878787878789,-24.08361188601731,27,17.0,8480.0
2025-06-27,2000.0,call,62.15,81.64025641025643,-23.873340515143063,90,311.0,5035.0
2025-06-27,2000.0,put,62.15,81.64025641025643,-23.873340515143063,90,65.0,11858.0
2025-06-27,2200.0,call,62.2,81.64025641025643,-23.81209621949957,90,184.0,9380.0
2025-06-27,2200.0,put,62.2,81.64025641025643,-23.81209621949957,90,6.0,12126.0
2025-09-26,10000.0,call,90.31,73.01324324324327,23.689889653487484,181,0.0,1830.0
2025-09-26,10000.0,put,90.31,73.01324324324327,23.689889653487484,181,0.0,358.0
2025-06-27,1900.0,call,62.31,81.64025641025643,-23.67735876908389,90,26.0,1421.0
2025-06-27,1900.0,put,62.31,81.64025641025643,-23.67735876908389,90,145.0,5256.0
2025-09-26,500.0,call,90.06,73.01324324324327,23.34748601697578,181,0.0,275.0
2025-09-26,500.0,put,90.06,73.01324324324327,23.34748601697578,181,170.0,5920.0
2025-06-27,1800.0,call,62.62,81.64025641025643,-23.297644136094267,90,866.0,1767.0
2025-06-27,1800.0,put,62.62,81.64025641025643,-23.297644136094267,90,1062.0,11152.0
2025-12-26,11000.0,call,86.98,70.62941176470586,23.149829266261385,272,10.0,2931.0
2025-12-26,11000.0,put,86.98,70.62941176470586,23.149829266261385,272,0.0,0.0
2025-04-25,1800.0,call,65.78,85.48878787878789,-23.054237131929412,27,250.0,575.0
2025-04-25,1800.0,put,65.78,85.48878787878789,-23.054237131929412,27,149.0,19483.0
2025-04-04,2600.0,call,101.84,82.91062500000001,22.83106055466352,6,258.0,1864.0
2025-04-04,2600.0,put,101.84,82.91062500000001,22.83106055466352,6,0.0,529.0
2025-06-27,2400.0,call,63.01,81.64025641025643,-22.81993863007505,90,495.0,4947.0
2025-06-27,2400.0,put,63.01,81.64025641025643,-22.81993863007505,90,10.0,7047.0
2025-04-25,4200.0,call,104.93,85.48878787878789,22.74124198459482,27,0.0,4760.0
2025-04-25,4200.0,put,104.93,85.48878787878789,22.74124198459482,27,0.0,0.0
2025-04-25,2300.0,call,66.08,85.48878787878789,-22.703313920308542,27,3277.0,18629.0
2025-04-25,2300.0,put,66.08,85.48878787878789,-22.703313920308542,27,1.0,2546.0
2025-06-27,1700.0,call,63.2,81.64025641025643,-22.587210306629785,90,39.0,506.0
2025-06-27,1700.0,put,63.2,81.64025641025643,-22.587210306629785,90,1573.0,5286.0
2025-06-27,2500.0,call,63.43,81.64025641025643,-22.30548654666974,90,465.0,14294.0
2025-06-27,2500.0,put,63.43,81.64025641025643,-22.30548654666974,90,81.0,10521.0
2025-03-31,1975.0,call,60.87,77.8090476190476,-21.77002307235661,2,70.0,92.0
2025-03-31,1975.0,put,60.87,77.8090476190476,-21.77002307235661,2,2.0,2.0
2025-06-27,2600.0,call,64.06,81.64025641025643,-21.533808421561773,90,323.0,10862.0
2025-06-27,2600.0,put,64.06,81.64025641025643,-21.533808421561773,90,0.0,3520.0
2025-06-27,1600.0,call,64.13,81.64025641025643,-21.4480664076609,90,12.0,251.0
2025-06-27,1600.0,put,64.13,81.64025641025643,-21.4480664076609,90,67.0,1167.0
2025-03-31,1850.0,call,61.16,77.8090476190476,-21.397315773046337,2,231.0,227.0
2025-03-31,1850.0,put,61.16,77.8090476190476,-21.397315773046337,2,345.0,690.0
2025-06-27,7500.0,call,99.04,81.64025641025643,21.3127008106232,90,1.0,4775.0
2025-06-27,7500.0,put,99.04,81.64025641025643,21.3127008106232,90,0.0,89.0
2025-03-30,1950.0,call,63.8,81.0224,-21.25634392464307,1,1315.0,1230.0
2025-03-30,1950.0,put,63.8,81.0224,-21.25634392464307,1,6.0,367.0
2025-09-26,9000.0,call,88.28,73.01324324324327,20.909572125012456,181,15.0,1021.0
2025-09-26,9000.0,put,88.28,73.01324324324327,20.909572125012456,181,0.0,0.0
2025-12-26,10000.0,call,85.23,70.62941176470586,20.672107937036767,272,0.0,1796.0
2025-12-26,10000.0,put,85.23,70.62941176470586,20.672107937036767,272,0.0,4.0
2025-04-25,2400.0,call,67.94,85.48878787878789,-20.527590008259114,27,468.0,5197.0
2025-04-25,2400.0,put,67.94,85.48878787878789,-20.527590008259114,27,0.0,3444.0
2025-04-25,4000.0,call,102.99,85.48878787878789,20.471938549446477,27,0.0,7126.0
2025-04-25,4000.0,put,102.99,85.48878787878789,20.471938549446477,27,0.0,1106.0
2025-04-25,1700.0,call,67.99,85.48878787878789,-20.469102806322304,27,2.0,985.0
2025-04-25,1700.0,put,67.99,85.48878787878789,-20.469102806322304,27,767.0,4760.0
2025-04-01,1925.0,call,61.56,77.14380952380952,-20.200985173022552,3,186.0,182.0
2025-04-01,1925.0,put,61.56,77.14380952380952,-20.200985173022552,3,0.0,0.0
