expiration_date,strike,option_type,implied_volatility,mean_iv,deviation_pct,days_to_expiration,volume,open_interest
2025-05-30,30000.0,call,98.88,56.98868421052631,73.50812949939278,61,0.0,15.8
2025-05-30,30000.0,put,98.88,56.98868421052631,73.50812949939278,61,0.0,23.1
2025-06-27,20000.0,call,113.2,66.19666666666666,71.00558940530745,89,0.0,68.4
2025-06-27,20000.0,put,113.2,66.19666666666666,71.00558940530745,89,0.3,271.6
2025-04-25,40000.0,call,107.08,62.70577777777779,70.76576321161258,26,0.0,24.7
2025-04-25,40000.0,put,107.08,62.70577777777779,70.76576321161258,26,1.8,175.3
2025-04-25,200000.0,call,105.56,62.70577777777779,68.34174415967337,26,0.2,287.2
2025-04-25,200000.0,put,105.56,62.70577777777779,68.34174415967337,26,0.0,0.0
2025-06-27,400000.0,call,104.24,66.19666666666666,57.47016466085907,89,0.0,597.5
2025-06-27,400000.0,put,104.24,66.19666666666666,57.47016466085907,89,0.0,0.1
2025-05-30,250000.0,call,89.65,56.98868421052631,57.311931731599564,61,0.0,64.1
2025-05-30,250000.0,put,89.65,56.98868421052631,57.311931731599564,61,0.0,0.0
2025-04-04,65000.0,call,105.41,67.3821212121212,56.43615562081481,5,0.0,0.0
2025-04-04,65000.0,put,105.41,67.3821212121212,56.43615562081481,5,15.6,472.5
2025-03-31,76000.0,call,89.8,57.47291666666666,56.24750788414834,1,0.0,0.0
2025-03-31,76000.0,put,89.8,57.47291666666666,56.24750788414834,1,97.7,109.2
2025-04-25,180000.0,call,97.3,62.70577777777779,55.16911431163526,26,5.3,196.0
2025-04-25,180000.0,put,97.3,62.70577777777779,55.16911431163526,26,0.0,0.0
2025-04-25,175000.0,call,94.17,62.70577777777779,50.17754876389201,26,0.1,566.9
2025-04-25,175000.0,put,94.17,62.70577777777779,50.17754876389201,26,0.0,0.1
2025-04-01,74000.0,call,92.93,62.67263157894737,48.27843934227987,2,0.0,0.0
2025-04-01,74000.0,put,92.93,62.67263157894737,48.27843934227987,2,23.1,27.6
2025-04-25,170000.0,call,92.77,62.70577777777779,47.944899637105884,26,0.0,110.6
2025-04-25,170000.0,put,92.77,62.70577777777779,47.944899637105884,26,0.0,0.0
2025-05-30,40000.0,call,81.46,56.98868421052631,42.940657655952016,61,0.0,8.6
2025-05-30,40000.0,put,81.46,56.98868421052631,42.940657655952016,61,1.0,145.0
2025-09-26,20000.0,call,85.99,60.446176470588235,42.25879124354675,180,0.0,30.8
2025-09-26,20000.0,put,85.99,60.446176470588235,42.25879124354675,180,0.0,132.8
2025-03-31,78000.0,call,81.13,57.47291666666666,41.162141588429336,1,0.0,0.0
2025-03-31,78000.0,put,81.13,57.47291666666666,41.162141588429336,1,25.9,229.1
2025-06-27,300000.0,call,93.14,66.19666666666666,40.7019487386072,89,19.6,3142.0
2025-06-27,300000.0,put,93.14,66.19666666666666,40.7019487386072,89,0.0,2.1
2025-05-30,200000.0,call,79.35,56.98868421052631,39.23816824207946,61,0.0,123.2
2025-05-30,200000.0,put,79.35,56.98868421052631,39.23816824207946,61,0.0,0.0
2025-04-25,50000.0,call,86.7,62.70577777777779,38.2647709231118,26,0.0,24.2
2025-04-25,50000.0,put,86.7,62.70577777777779,38.2647709231118,26,24.1,538.5
2025-04-25,160000.0,call,85.86,62.70577777777779,36.92518144704012,26,0.0,245.4
2025-04-25,160000.0,put,85.86,62.70577777777779,36.92518144704012,26,0.0,8.2
2025-09-26,400000.0,call,82.48,60.446176470588235,36.45197234292055,180,0.0,253.0
2025-09-26,400000.0,put,82.48,60.446176470588235,36.45197234292055,180,0.0,0.0
2025-04-02,74000.0,call,85.47,62.68764705882352,36.342651240041675,3,0.0,0.0
2025-04-02,74000.0,put,85.47,62.68764705882352,36.342651240041675,3,18.2,18.0
2025-04-04,70000.0,call,91.26,67.3821212121212,35.43651989332664,5,0.0,0.2
2025-04-04,70000.0,put,91.26,67.3821212121212,35.43651989332664,5,15.5,308.2
2025-06-27,280000.0,call,88.93,66.19666666666666,34.34211188881618,89,25.1,844.6
2025-06-27,280000.0,put,88.93,66.19666666666666,34.34211188881618,89,0.0,0.0
2025-04-11,120000.0,call,74.74,56.027115384615364,33.399693143086665,12,13.1,23.4
2025-04-11,120000.0,put,74.74,56.027115384615364,33.399693143086665,12,0.0,0.0
2025-04-01,76000.0,call,82.85,62.67263157894737,32.19486387074018,2,0.0,0.0
2025-04-01,76000.0,put,82.85,62.67263157894737,32.19486387074018,2,104.1,89.5
2025-06-27,30000.0,call,86.03,66.19666666666666,29.961226647867484,89,0.0,36.1
2025-06-27,30000.0,put,86.03,66.19666666666666,29.961226647867484,89,0.0,301.0
2025-03-31,79000.0,call,73.87,57.47291666666666,28.53010475948818,1,0.0,0.0
