expiration_date,put_call_ratio,currency
2025-03-17,1.484710868907054,BTC
2025-03-18,0.268387314439946,BTC
2025-03-19,15.5,BTC
2025-03-21,0.8001372080309576,BTC
2025-03-28,0.4761403512575653,BTC
2025-04-04,0.7068164482352125,BTC
2025-04-25,0.5021563779336061,BTC
2025-05-30,0.670462375339982,BTC
2025-06-27,0.4522782639122676,BTC
2025-09-26,0.5325702688547485,BTC
2025-12-26,0.6981216457960644,BTC
2025-03-17,0.7473168894746752,ETH
2025-03-18,0.5202279202279202,ETH
2025-03-19,1.5,ETH
2025-03-21,0.6132107779345488,ETH
2025-03-28,0.4003741814780168,ETH
2025-04-04,4.546961994674413,ETH
2025-04-25,0.4776041602025492,ETH
2025-05-30,1.1383027198592146,ETH
2025-06-27,0.4924868240004371,ETH
2025-09-26,0.9529704635672476,ETH
2025-12-26,0.1700353322290311,ETH
