Metric,BTC,ETH
Current Price,"$82,850.77","$1,815.00"
Total Open Interest,"198,026","1,322,753"
Calls Open Interest,"124,827","778,615"
Puts Open Interest,"73,199","544,138"
Put/Call Ratio,0.59,0.70
Total Volume,"5,839","107,260"
Calls Volume,"3,023","58,575"
Puts Volume,"2,816","48,685"
Volume Put/Call Ratio,0.93,0.83
Average IV,6043.03%,7960.64%
Min IV,4402.00%,6135.00%
Max IV,11321.00%,15981.00%
